Accession,Release_Date,Species,Length,Sequence_Type,Nuc_Completeness,Geo_Location,USA,Host,Isolation_Source,Collection_Date,GenBank_Title
MW093484,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29867,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0569/2020, complete genome"
MW093485,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29894,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0570/2020, complete genome"
MW093486,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29872,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0571/2020, complete genome"
MW093490,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-06-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0575/2020, complete genome"
MW093532,2020-10-13T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29864,GenBank,complete,USA: TX,TX,Homo sapiens,oronasopharynx,2020-06-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TX-DSHS-0133/2020, complete genome"
MW084406,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29854,GenBank,complete,USA,,Homo sapiens,,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-01842/2020, complete genome"
MW084414,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,GenBank,complete,USA,,Homo sapiens,,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-01854/2020, complete genome"
MW084419,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29859,GenBank,complete,USA,,Homo sapiens,,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-01872/2020, complete genome"
MW084426,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,GenBank,complete,USA,,Homo sapiens,,2020-04-13,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-01884/2020, complete genome"
MW084440,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,GenBank,complete,USA,,Homo sapiens,,2020-04-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-02047/2020, complete genome"
MW084441,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,GenBank,complete,USA,,Homo sapiens,,2020-04-20,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-02051/2020, complete genome"
MW084469,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29868,GenBank,complete,USA,,Homo sapiens,,2020-04-24,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-02831/2020, complete genome"
MW084505,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,GenBank,complete,USA,,Homo sapiens,,2020-05-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04235/2020, complete genome"
MW084509,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29852,GenBank,complete,USA,,Homo sapiens,,2020-05-14,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04282/2020, complete genome"
MW084516,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,GenBank,complete,USA,,Homo sapiens,,2020-05-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04306/2020, complete genome"
MW084517,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,GenBank,complete,USA,,Homo sapiens,,2020-05-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04307/2020, complete genome"
MW084518,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,GenBank,complete,USA,,Homo sapiens,,2020-05-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04309/2020, complete genome"
MW084520,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29853,GenBank,complete,USA,,Homo sapiens,,2020-05-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04311/2020, complete genome"
MW084522,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29850,GenBank,complete,USA,,Homo sapiens,,2020-05-15,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04313/2020, complete genome"
MW084525,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,GenBank,complete,USA,,Homo sapiens,,2020-05-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04319/2020, complete genome"
MW084527,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29892,GenBank,complete,USA,,Homo sapiens,,2020-05-18,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04341/2020, complete genome"
MW084536,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29901,GenBank,complete,USA,,Homo sapiens,,2020-05-22,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04840/2020, complete genome"
MW084553,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29879,GenBank,complete,USA,,Homo sapiens,,2020-05-25,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04865/2020, complete genome"
MW084559,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29900,GenBank,complete,USA,,Homo sapiens,,2020-05-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04888/2020, complete genome"
MW084561,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29893,GenBank,complete,USA,,Homo sapiens,,2020-05-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04895/2020, complete genome"
MW084567,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29896,GenBank,complete,USA,,Homo sapiens,,2020-05-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04906/2020, complete genome"
MW084577,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29860,GenBank,complete,USA,,Homo sapiens,,2020-05-26,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-04923/2020, complete genome"
MW084583,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29836,GenBank,complete,USA,,Homo sapiens,,2020-06-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-05520/2020, complete genome"
MW084585,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,GenBank,complete,USA,,Homo sapiens,,2020-06-02,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-05542/2020, complete genome"
MW084596,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29897,GenBank,complete,USA,,Homo sapiens,,2020-06-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-05574/2020, complete genome"
MW084599,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,GenBank,complete,USA,,Homo sapiens,,2020-06-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-05584/2020, complete genome"
MW084600,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,GenBank,complete,USA,,Homo sapiens,,2020-06-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-05585/2020, complete genome"
MW084601,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29899,GenBank,complete,USA,,Homo sapiens,,2020-06-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-05586/2020, complete genome"
MW084605,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29898,GenBank,complete,USA,,Homo sapiens,,2020-06-01,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/UT-05590/2020, complete genome"
MW086594,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-12,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-CDC-8397/2020, complete genome"
MW086595,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29882,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/PA-CDC-8398/2020, complete genome"
MW086596,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-8411/2020, complete genome"
MW086597,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-09,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-8412/2020, complete genome"
MW086598,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29876,GenBank,complete,USA,,Homo sapiens,oronasopharynx,2020-03-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/TN-CDC-8414/2020, complete genome"
MW086893,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1734/2020, complete genome"
MW086894,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,GenBank,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1745/2020, complete genome"
MW086895,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29857,GenBank,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1730/2020, complete genome"
MW086896,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,GenBank,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1746/2020, complete genome"
MW086897,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-11,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1743/2020, complete genome"
MW086898,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29819,GenBank,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1744/2020, complete genome"
MW086899,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,GenBank,complete,USA: Minnesota,MN,Homo sapiens,oronasopharynx,2020-04-10,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1728/2020, complete genome"
MW086900,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1724/2020, complete genome"
MW086901,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29828,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1738/2020, complete genome"
MW086902,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1719/2020, complete genome"
MW086903,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1723/2020, complete genome"
MW086904,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29843,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1736/2020, complete genome"
MW086905,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29861,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1729/2020, complete genome"
MW086906,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1725/2020, complete genome"
MW086907,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1733/2020, complete genome"
MW086908,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29821,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1739/2020, complete genome"
MW086909,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29823,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1742/2020, complete genome"
MW086910,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29855,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1735/2020, complete genome"
MW086911,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1731/2020, complete genome"
MW086912,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29849,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1737/2020, complete genome"
MW086913,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29841,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1732/2020, complete genome"
MW086914,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29816,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1720/2020, complete genome"
MW086915,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29817,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1721/2020, complete genome"
MW086916,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29844,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1722/2020, complete genome"
MW086917,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1727/2020, complete genome"
MW086918,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29822,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1747/2020, complete genome"
MW086919,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29824,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1741/2020, complete genome"
MW086920,2020-10-09T00:00:00Z,Severe acute respiratory syndrome-related coronavirus,29832,GenBank,complete,USA: Minnesota,MN,Homo sapiens,,2020-09-16,"Severe acute respiratory syndrome coronavirus 2 isolate SARS-CoV-2/human/USA/MN-MDH-1740/2020, complete genome"
